legislator,cluster
Soto_Ferrada_Leonardo,izquierda
Trisotti_Martínez_Renzo,derecha
Alessandri_Vergara_Jorge,derecha
Barrera_Moreno_Boris,izquierda
Bernales_Maldonado_Alejandro,izquierda
Brito_Hasbún_Jorge,izquierda
Calisto_Águila_Miguel Ángel,izquierda
Carter_Fernández_Álvaro,derecha
Castro_Bascuñán_José Miguel,derecha
Celis_Montt_Andrés,derecha
Cid_Versalovic_Sofía,derecha
Del Real_Mihovilovic_Catalina,derecha
Durán_Espinoza_Jorge,derecha
Durán_Salinas_Eduardo,derecha
Flores_Oporto_Camila,derecha
Fuenzalida_Cobo_Juan,derecha
González_Gatica_Félix,izquierda
Hertz_Cádiz_Carmen,izquierda
Hirsch_Goldschmidt_Tomás,izquierda
Ibáñez_Cotroneo_Diego,izquierda
Ilabaca_Cerda_Marcos,izquierda
Jiles_Moreno_Pamela,izquierda
Jürgensen_Rundshagen_Harry,derecha
Leiva_Carvajal_Raúl,izquierda
Longton_Herrera_Andrés,derecha
Marzán_Pinto_Carolina,izquierda
Mellado_Pino_Cosme,izquierda
Mellado_Suazo_Miguel,derecha
Mix_Jiménez_Claudia,izquierda
Moreira_Barros_Cristhian,derecha
Muñoz_González_Francesca,derecha
Nuyado_Ancapichún_Emilia,izquierda
Olivera_De La Fuente_Erika,izquierda
Orsini_Pascal_Maite,izquierda
Ossandón_Irarrázabal_Ximena,derecha
Pérez_Olea_Joanna,izquierda
Pérez_Salinas_Catalina,izquierda
Ramírez_Diez_Guillermo,derecha
Rey_Martínez_Hugo,derecha
Rojas_Valderrama_Camila,izquierda
Romero_Sáez_Leonidas,derecha
Rosas_Barrientos_Patricio,izquierda
Santana_Castillo_Juan,izquierda
Santibáñez_Novoa_Marisela,izquierda
Schalper_Sepúlveda_Diego,derecha
Sepúlveda_Soto_Alexis,izquierda
Soto_Mardones_Raúl,izquierda
Undurraga_Gazitúa_Francisco,derecha
Urruticoechea_Ríos_Cristóbal,derecha
Winter_Etcheberry_Gonzalo,izquierda
