"legislator","d1","d2","cluster_original","cluster_corregido","cambio"
"Barrios_Oteíza_Arturo",-0.568283579027977,0.59038552028501,"izquierda","izquierda","NO"
"Acevedo_Sáez_María Candelaria",-0.716476247125464,0.5400875370453,"izquierda","izquierda","NO"
"Aedo_Jeldres_Eric",-0.322025116596666,0.682094579850456,"izquierda","izquierda","NO"
"Ahumada_Palma_Yovana",0.393609847793221,0.829877063326679,"derecha","derecha","NO"
"Alessandri_Vergara_Jorge",0.635061080034697,0.776794880903393,"derecha","derecha","NO"
"Alinco_Bustos_René",-0.54779786954921,1.30920128592145,"izquierda","izquierda","NO"
"Araya_Guerrero_Jaime",-0.494596165216378,0.925011878302353,"derecha","izquierda","SI"
"Araya_Lerdo de Tejada_Cristián",1.01172325890127,0.856562894409269,"derecha","derecha","NO"
"Arce_Castro_Mónica",-0.578716971471239,0.98052147477685,"derecha","izquierda","SI"
"Arroyo_Muñoz_Roberto",0.78503640989541,1.04358495241005,"derecha","derecha","NO"
"Astudillo_Peiretti_Danisa",-0.62608334409498,0.625168348181985,"izquierda","izquierda","NO"
"Barchiesi_Chávez_Chiara",1.01196303522241,0.789856611123639,"derecha","derecha","NO"
"Barrera_Moreno_Boris",-0.711689868781844,0.521608754399287,"izquierda","izquierda","NO"
"Barría_Angulo_Héctor",-0.390687054072769,0.609800536786471,"izquierda","izquierda","NO"
"Becker_Alvear_Miguel Ángel",0.488475372245903,0.733360416674434,"derecha","derecha","NO"
"Bello_Campos_María Francisca",-0.717036549853018,0.545688546784233,"izquierda","izquierda","NO"
"Beltrán_Silva_Juan Carlos",0.445623085214975,0.680365295055693,"derecha","derecha","NO"
"Benavente_Vergara_Gustavo",0.643239450173399,0.764654868158308,"derecha","derecha","NO"
"Berger_Fett_Bernardo",0.536985413894849,0.733951247301291,"derecha","derecha","NO"
"Bernales_Maldonado_Alejandro",-0.393104417140466,0.774636856333187,"izquierda","izquierda","NO"
"Bianchi_Chelech_Carlos",-0.383911132893838,0.734715584535903,"derecha","izquierda","SI"
"Bobadilla_Muñoz_Sergio",0.886751020637109,0.823182836379096,"derecha","derecha","NO"
"Bórquez_Montecinos_Fernando",0.381903719125101,0.699563032077261,"derecha","derecha","NO"
"Bravo_Castro_Ana María",-0.592217405595662,0.532560325583293,"izquierda","izquierda","NO"
"Bravo_Salinas_Marta",0.440542283291753,0.742429057642822,"derecha","derecha","NO"
"Brito_Hasbún_Jorge",-0.691681570419393,0.614783099011218,"izquierda","izquierda","NO"
"Bugueño_Sotelo_Félix",-0.593287019752803,0.492839431914693,"izquierda","izquierda","NO"
"Calisto_Águila_Miguel Ángel",0.015944282807009,0.846551809439548,"derecha","izquierda","SI"
"Camaño_Cárdenas_Felipe",-0.219504280584865,0.781651320159312,"derecha","izquierda","SI"
"Cariola_Oliva_Karol",-0.641530280250236,0.431125021189701,"izquierda","izquierda","NO"
"Carter_Fernández_Álvaro",0.974739167103672,0.815356339579392,"derecha","derecha","NO"
"Castillo_Rojas_Nathalie",-0.745930507304525,0.650496072266231,"izquierda","izquierda","NO"
"Castro_Bascuñán_José Miguel",0.502582828659307,0.831125737654308,"derecha","derecha","NO"
"Celis_Montt_Andrés",0.419820596543973,0.717015683265171,"derecha","derecha","NO"
"Cicardini_Milla_Daniella",-0.640742775732727,0.606883912386976,"izquierda","izquierda","NO"
"Cid_Versalovic_Sofía",1.01240977571648,0.792006443826654,"derecha","derecha","NO"
"Cifuentes_Lillo_Ricardo",-0.355193783401932,0.700975891509966,"izquierda","izquierda","NO"
"Coloma_Álamos_Juan Antonio",0.590948370473331,0.749901810035053,"derecha","derecha","NO"
"Concha_Smith_Sara",0.702561056263859,0.733239321040506,"derecha","derecha","NO"
"Cordero_Velásquez_María Luisa",0.338436824142032,0.718337615331423,"derecha","derecha","NO"
"Cornejo_Lagos_Eduardo",0.615368955098734,0.783780304344952,"derecha","derecha","NO"
"Cuello_Peña y Lillo_Luis Alberto",-0.711024745232939,0.524250760342107,"izquierda","izquierda","NO"
"De la Carrera_Correa_Gonzalo",1.26768167741518,1.33027987104648,"derecha","derecha","NO"
"Del Real_Mihovilovic_Catalina",1.04376179154601,0.793312980995693,"derecha","derecha","NO"
"Delgado_Riquelme_Viviana",-0.703166792569232,0.616461275894199,"derecha","izquierda","SI"
"Donoso_Castro_Felipe",0.641367780193104,0.797427879211424,"derecha","derecha","NO"
"Durán_Espinoza_Jorge",0.763507872230184,0.951527431621117,"derecha","derecha","NO"
"Durán_Salinas_Eduardo",0.414703747086378,0.724691535504443,"derecha","derecha","NO"
"Flores_Oporto_Camila",0.762204630371024,0.790761220987788,"derecha","derecha","NO"
"Fries_Monleón_Lorena",-0.701081775188707,0.696245186855866,"izquierda","izquierda","NO"
"Fuenzalida_Cobo_Juan",0.706343889678075,0.907023768071317,"derecha","derecha","NO"
"Gazmuri_Vieira_Ana María",-0.749572675761261,0.595140770892668,"izquierda","izquierda","NO"
"Giordano_Salazar_Andrés",-0.635595494218953,0.430837101635092,"izquierda","izquierda","NO"
"González_Gatica_Félix",-0.719414838884897,0.928264242433525,"izquierda","izquierda","NO"
"González_Olea_Marta",-0.656820190731072,0.546427883084148,"derecha","izquierda","SI"
"González_Villarroel_Mauro",0.523492632832298,0.710871422122353,"derecha","derecha","NO"
"Guzmán_Zepeda_Jorge",0.420969662926917,0.785535329828364,"derecha","derecha","NO"
"Hertz_Cádiz_Carmen",-0.665819468734896,0.567228750433164,"izquierda","izquierda","NO"
"Hirsch_Goldschmidt_Tomás",-0.712296011337963,0.504480384943882,"izquierda","izquierda","NO"
"Ibáñez_Cotroneo_Diego",-0.679367861244244,0.51390930342556,"izquierda","izquierda","NO"
"Ilabaca_Cerda_Marcos",-0.477307271811881,0.585222408346127,"izquierda","izquierda","NO"
"Irarrázaval_Rossel_Juan",1.00402958291048,0.888412507490512,"derecha","derecha","NO"
"Jiles_Moreno_Pamela",-0.4684485892325,1.17436340820993,"izquierda","izquierda","NO"
"Jouannet_Valderrama_Andrés",-0.127122343235432,1.02039828306565,"izquierda","izquierda","NO"
"Jürgensen_Rundshagen_Harry",0.999587776552137,0.879598207241524,"derecha","derecha","NO"
